Sex,Weigh ,Stature,Shoe size,Width,Length
1,61,174,44,12.5,29.5
1,40,160,38,9,26
1,55,177,45,12.5,31
1,53,172,44,12,29
1,120,175,43,12,29.5
1,41,175,43,12,29.5
1,53,175,43,12,29.5
1,90,175,44,12,30
1,80,171,43,12,28
1,72,180,45,13,31
1,99,178,45,13,30
1,56,165,41,10.5,28
1,65,175,43,12,30.5
1,44,171,42.5,11.5,28.5
1,47,165,42,10.5,28
1,72,172,44,12,29
1,68,170,42,11,28
1,58,172,43,12,30
1,56,165,41,10.5,28
1,60,171,42,11,28
1,59,169,42,11,28.5
1,63,167,42,11,28
1,63,168,41,10.5,28
1,52,159,38,9,26
1,59,163,39,9.5,26.5
1,62,163,40,9.5,27
1,63,166,42,11,28
1,89,183,45,14,32
1,58,167,42,10,28
1,68,166,41,10,27.5
1,57,169,41.5,11,28.5
1,64,169,42,11,28.5
1,69,170,43,12,28
1,61,171,42.5,11,28
1,73,172,43,12,30
1,72,175,43,12,29
1,64,177,43,12,30
1,78,178,44,13,29.5
1,65,189,45,14.5,33
1,58,161,41,10,26
1,55,173,44,12,29.5
1,70,180,44,13.5,31
1,70,173,44,12,29.5
1,63,183,44,13.5,31
1,71,168,42.5,11.5,27.5
1,80,186,45,14,32
1,42,165,40,9.5,26.5
1,79,186,45,14,32
1,60,176,43.5,12.5,30
1,68,174,43.5,12.5,29.5
1,80,161,41,10,26
1,63,180,44,13.5,31
1,65,172,43,12,30
1,63,169,42,11,28.5
1,80,166,41,10,27.5
1,55,167,42,11,27
1,73,171,43,11.5,29
1,75,180,44,13.5,31
1,57,167,42.5,11,27.5
1,80,170,43,12,28.5
1,50,168,42.5,11,27.5
1,86,171,43,12,29
1,59,169,42.5,11,28.5
1,53,168,42.5,11.5,27.5
1,51,163,40,9.5,26.5
1,60,173,42.5,11.5,28.5
1,68,175,44,12,29.5
1,78,168,42.5,11,27.5
1,75,165,41,10.5,27
1,70,175,44,12,29.5
1,61,166,42,11,27
1,80,185,45,14,33
1,62,178,43,13,30
1,54,176,43,12,29
1,50,168,41,10.5,28
1,65,178,43,13,29.5
1,112,176,43,12.5,29.5
1,59,174,42.5,11.5,28.5
1,81,189,45,14.5,33
1,80,175,43,12,29.5
1,78,173,44,12,30
1,68,170,43,12,28
1,47,165,41,10.5,27
1,63,167,42.5,11,27.5
1,85,170,43,11.5,29
1,54,166,42.5,11,27.5
1,66,177,43,12.5,31
1,65,175,44,12,30
1,59,174,43.5,12.5,29.5
1,58,170,43,11.5,29
1,75,176,43,12,30
1,75,172,43,11.5,29
1,76,176,43,13,30
1,60,165,41,10.5,27.5
1,70,170,43,12,29
1,67,177,43,13,30
1,61,166,42,10,28
1,72,173,43.5,12.5,29.5
1,58,174,43.5,12.5,29.5
1,80,175,43,11.5,29
2,43,154,36,9,25
2,44,152,37,8,25
2,51,155,37,9,26
2,51,156,37,8.5,25
2,45,158,37,9.5,26
2,41,160,37,9,26
2,59,160,37,9,26
2,63,162,37,9,26
2,58,163,37,10,27
2,68,150,38,9.5,26
2,48,158,38,10,25.5
2,64,158,38,9,26
2,46,159,38,10,25.5
2,54,159,38,10,26
2,60,159,38,9,26
2,56,160,38,9,26
2,56,160,38,9,26
2,62,160,38,9,26
2,64,161,38,10,26
2,43,154,39,9,26.5
2,50,156,39,9.5,25
2,47,157,39,9.5,25.5
2,52,157,39,8.5,26
2,46,158,39,9,26
2,65,158,39,9,26
2,55,159,39,10,26
2,58,160,39,9,26
2,49,162,39,10,28
2,54,165,39,10,27
2,55,166,39,10,27
2,69,174,39,11.5,29.5
2,52,158,40,10,26
2,55.3,159,40,10,25.5
2,58,160,40,10,25.5
2,60,160,40,9,26
2,58,162,40,10,27
2,60,162,40,10,26
2,49,164,40,10,27
2,62,165,40,10,27
2,63,165,40,10,27
2,65,167,40,10,27.5
2,74,167,40,11.5,27.5
2,61,169,40,11,27.5
2,79,169,40,11,28.5
2,52,174,40,11,29
2,62,157,41,10,26
2,78,161,41,10.5,26.5
2,72,165,41,11,28
2,72,165,41,10.5,27.5
2,54,167,41,11,27
2,68,168,41,11,28
2,82,168,41,11,28
2,69,168.5,41,10.5,27.5
2,67,171,41,11,28.5
2,70,172,41,12,29
2,51,173,41,11.5,29.5
2,53,175,42,12,29.5
2,58,177,42,12,28
2,41,175,43,12,29.5
2,69,160,40,10,26
2,63,153,38,9,25
2,55,155,39,9.5,25.5
2,50,158,40,10,25.5
2,49,161,40,10,26
2,65,163,41,10.5,26.5
2,60,161,41,10.5,26.5
2,57,163,41,10.5,26.5
2,44.7,152,37,10,25
2,50,157,38,10,26
2,48,158,38,10,26
2,55,158,38,10,26
2,62,161,38,10,27
2,42,156,39,9.5,25.5
2,48,162,39,9,26
2,51,162,39,10,27
2,52,166,39,10,28
2,58,158,40,10,26
2,47,162,40,10,26
2,65,162,40,10,27
2,59,163,40,9.5,27
2,44,165,40,11,27
2,50,165,40,10,27
2,55,165,40,11,27
2,62,167,40,10,27
2,77,167,40,10,28
2,74,172,40,11.5,29
2,68,164,41,11,27.5
2,52,165,41,10.5,27
2,70,168,41,11,27.5
2,52,174,41,11,29
2,46,158,38,9.5,25.5
2,65,158,38,9.5,25.5
2,49,161,40,10,26
2,46,166,40,11,27
2,49,160,41,10,26.5
2,60,167,41,11,27
2,100,168,41,11,27.5
2,42,156,39,9.5,25.5
2,52,165,41,10.5,26.5
2,59,169,40,11,28
